genres,app_name,release_date,tags,item_id,playtime_forever
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,2018,"['Strategy', 'Action', 'Indie', 'Casual', 'Simulation']",761140,0
"['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,2018,"['Free to Play', 'Strategy', 'Indie', 'RPG', 'Card Game', 'Trading Card Game', 'Turn-Based', 'Fantasy', 'Tactical', 'Dark Fantasy', 'Board Game', 'PvP', '2D', 'Competitive', 'Replay Value', 'Character Customization', 'Female Protagonist', 'Difficult', 'Design & Illustration']",643980,0
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,2017,"['Free to Play', 'Simulation', 'Sports', 'Casual', 'Indie', 'Multiplayer']",670290,0
"['Action', 'Adventure', 'Casual']",弹炸人2222,2017,"['Action', 'Adventure', 'Casual']",767400,0
Sin dato,Log Challenge,0,"['Action', 'Indie', 'Casual', 'Sports']",773570,0
"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,2018,"['Action', 'Adventure', 'Simulation', 'FPS', 'Shooter', 'Third-Person Shooter', 'Sniper', 'Third Person']",772540,0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Basic Pass,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774276,0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774277,0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774278,0
"['Casual', 'Indie', 'Racing', 'Simulation']",Race,2018,"['Indie', 'Casual', 'Simulation', 'Racing']",768800,0
"['Action', 'Indie', 'Simulation', 'Early Access']",Uncanny Islands,0,"['Early Access', 'Action', 'Indie', 'Simulation', 'Survival']",768570,0
Sin dato,Icarus Six Sixty Six,0,['Casual'],724910,0
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018,"['Action', 'Adventure', 'RPG', 'Indie', 'Casual']",770380,0
"['Casual', 'Indie']",Beach Rules,2018,"['Casual', 'Indie', 'Pixel Graphics', 'Cute', '2D']",768880,0
"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,2018,"['Indie', 'Casual', 'Simulation']",765320,0
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,2018,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",773650,0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774271,0
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,2018,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",773690,0
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774279,0
Sin dato,After Life VR,0,"['Early Access', 'Indie', 'VR']",772590,0
Sin dato,Kitty Hawk,0,"['Early Access', 'Action', 'Adventure', 'Indie', 'Casual']",640250,0
"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,2018,"['Action', 'Adventure', 'Indie']",768060,0
Sin dato,Mortars VR,0,"['Early Access', 'Strategy', 'Action', 'Indie', 'Casual', 'VR']",711440,0
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,2017,"['Simulation', 'Racing', 'Sports']",775880,0
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,2017,"['Simulation', 'Racing', 'Sports']",775881,0
"['Action', 'Indie']",DinoBlaster,2018,"['Indie', 'Action']",653960,0
Sin dato,Robotpencil Presents: Understanding 3D for Concept,2018,"['Design & Illustration', 'Tutorial']",777910,0
"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,1997,"['Racing', 'Action', 'Classic', 'Indie', 'Gore', ""1990's"", 'Multiplayer', 'Singleplayer']",282010,409
['Action'],Half-Life,1998,"['FPS', 'Classic', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Multiplayer', ""1990's"", 'Story Rich', 'Adventure', 'Atmospheric', 'Silent Protagonist', 'Great Soundtrack', 'Moddable', 'Linear', 'Retro', 'Difficult', 'Funny']",70,14565
"['Action', 'Indie', 'RPG']",Fallen Mage,2016,"['Action', 'RPG', 'Indie']",752360,0
Sin dato,Don't Get Hit In The Face,0,"['Action', 'Indie', 'VR']",594200,0
"['Casual', 'Indie', 'Strategy']",Lost Cities,2018,"['Casual', 'Indie', 'Strategy', 'Card Game', 'Board Game', 'Turn-Based Strategy']",520680,0
['Action'],Twisted Enhanced Edition,2018,"['Action', 'Platformer', 'Side Scroller']",690410,0
"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,2018,"['Casual', 'Indie', 'Simulation']",766850,0
"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",Tactics Forever,2018,"['Casual', 'Action', 'Massively Multiplayer', 'Indie', 'Sports', 'Simulation', 'Strategy']",413120,0
"['Adventure', 'Casual', 'Indie']",Christmas Santa Troubles,2017,"['Adventure', 'Indie', 'Casual']",773120,0
Sin dato,Kingdom Watcher,0,"['Action', 'Free to Play', 'Strategy']",680970,0
"['Action', 'Adventure', 'RPG']",Underdone - Soundtrack,2018,"['Action', 'Adventure', 'RPG']",754360,0
"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,2018,"['Adventure', 'RPG', 'Indie', 'Casual', 'Clicker']",716110,0
